content,score
"sangat membantu utk catat pengeluaran dan pendapatan harian, aplikasi simple, dan bisa diconvert ke excel 👍",5
"Sebelumnya terima kasih kepada developer, designer dan publisher karena telah membuat aplikasi yang sangat bagus dan bermanfaat, terutama sangat menolong saya dalam mengelola keuangan setiap harinya, saya memiliki saran akan lebih bagus lagi jika ditambahkan fitur pengelola hutang, untuk mengatur keuangan masuk ataupun keluar yang berkaitan dengan hutang tersebut, sehingga user tidak perlu menambahkan kategori hutang secara manual, dan langsung menggunakan fitur hutang yang tersedia",5
"bagus, ini bisa membantu untuk mengatur keuanganku dan kemana perginya, rekomendasi untuk kalian yang butuh untuk mencatat pengeluaran yang simple",5
Aplikasi sangat bagus ... Bisa membantu mengatur keuangan.. jadi selalu ingat pengeluaran kita setiap bulannya..,5
"Setelah mencoba beberapa aplikasi pencatatan uang, menurut saya aplikasi ini yg paling bagus. Lengkap banget dan sangat memudahkan. Iklannya juga jarang keluar. The best",5
"bagus sebenarnya tapi terdapat bug yang mengganggu. yaitu ketika saya sedang membuat list keuangan tiba2 apk keluar sendiri, dan pas mau di buka lagi Mala tidak bisa (force close).",1
"aplikasinya ringan, sangat intuitif. fitur yang paling berguna itu bisa tambah akun (account) jadi lebih rapi pencatatannya.",5
Mohon solusinya untuk perangkat saya yang lama terjadi tidak terkoneksi. Dan saya ingin memindahkan laporan dari perangkat yang lama ke perangkat yang baru,5
"Aplikasinya bagus, tampilannya sederhana, mudah digunakan untuk mencatat pendapatan/pengeluaran sehari-hari, membantu banget🤩🫶🏻",5
"mantap, sangat berguna mencatat keuangan, dan mudah di backup. saya versi beli tanpa iklan.. murah karena permanen",5
"Aplikasi sangat membantu, kalau bisa tolong tambahin fitur buat crypto seperti bitcoin agar gak selalu buat laporan setiap hari / minggu",5
Aplikasinya keren udah cukup lengkap fiturnya dan mudah digunakan ❤️ Sangat rekomen utk mencatat pengeluaran keseharian 👍,5
Bagus banget. Aplikasi gratis. Gapapa ada iklan toh gratis.. Bermanfaat buat nyatat pengeluaran dan pemasukan,5
"Bagus sih ini. Lumayan simpel, dan pencatatannya mudah. aplikasinya ringan dan ada fitur sanding data ke PC. ok lah ini",5
Pencatatan pemasukan dan pengeluaran sesuai yang saya harapkan. Sangat mudah digunakan tinggal klik pada tanggal di kalendernya,5
"trimakasih banget buat developer apk ini, berguna banget apknya, gk banyak iklan, ui nya simple, sukses selalu... ^3^",5
"Tolong aplikasinya kok tiba tiba hilang di beranda hand phoneku, please bantuannya, Aplikasinya sangat bagus, sangat membantu pekerjaan saya,tapi kenapa kok gak ada di beranda hand phone ku,",5
Sangat membantu dalam pencatatan keuangan saya. Tampilannya yg sederhana membuat aplikasi ini sangat nyaman dan mudah digunakan untuk mencatat pengeluaran dan pemasukan.,5
Aplikasi nya bagus. Ada penentuan anggaran bulannya. Kita bisa tau di pos mana yg paling boros dan paling minim..,5
keren aplikasinya. enak pakai nya dan mudah. mudah2an gak aneh2 nantinya pas sudah lama di pakai .. gak hilang2an datanya..,5
"tolong tambahkan feature berbagi ""hanya melihat --tanpa ada akses mengedit"" dengan user lain. overall this app is the best",5
"bagi saya kurangnya cuma satu, tolong tingkatkan design ui/ux agar nyaman dipakai.. kalau yang sekarang bagi saya terlalu flat sedangkan fiturnya banyak banget jadi kayak terasa sumpek",4
"Hampir sebulan penggunaan,ngebantu banget untuk tetap rapi mencatat pengeluaran dan pemasukan. Keuangan jadi lebih jelas dan lebih sehat",5
"Apk nya baguss, fiturnya lengkap dan sangat membantu. Tp tolong dong dibuatkan fitur untuk mengubah data ke pdf agar memudahkan untuk laporan keuangan, saya yakin fitur itu pasti sangat membantu banyak orang.",5
Ini aplikasi finansial pribadi terbaik yg pernah saya gunakan. Simple yet so complete. Cuma satu hal yg ngeganjal cara buat nyatat liabilitas masih bingung gimana caranya. Ada yg bisa bantu?,5
"Aplikasinya bagus banget sekalian belajar hemat jadi tau pengeluaran kita setiap harinya, aplikasi ini sangat cocok buat anak-anak kos seperti saya",5
"Sejauh ini ok , ini aplikasi paling cocok untuk saya , mudah dipahami. Hanya sayang tidak ada fitur hutang piutang ,, kalau ada mantap banget. Semoga kedepannya ada fitur hutang piutang yah.",5
"Sangat membantu, sinple jadi mudah di oprasikan. Usulan, tolong tambahkan menu untuk memisahkan pengelolaan keuangan lainnya. Misal untuk keperluan pencatatan keuangan usaha",5
"intinya bagus, fitur"" basic tersedia gratis. tampilan simpel dan mudah dipahami. saat ini belum menemukan kekurangan, good job buat developer🤙",5
"Diantara yg lain, ini yg paling cocok. Bisa melampirkan foto juga, jd bisa lampirin nota belanja 😂😂😂",4
Bagus banget. Sangat membantu. Tingkatkan lagi terutama dalam pelaporannya. Kalau bisa buat fitur user supaya bisa dilihat dengab 2 device,5
"Gila, keren sih fiturnya, awalnya saya pikir biasa aja fiturnya, setelah buka pengaturan ternyata ada banyak banget fiturnya.",5
"Keren, saya pakai aplikasi ini dari 2017 sampai sekarang. Edit : Wow di pembaharuan kali ini saya benaran suka banget. Tampilan nya modern, simple, dan cantik. Serta fitur nya yang semakin lengkap. Gak nyesel deh beli versi pro nya, MANTAB.",5
"Seneng banget, simple tapi lengkappp, udh survey ke beberapa apk sejenis tapi paling suka yg ini. Fix no debat ! Kurangnya cumna ada premiumnya tp tanpa premium tetep oke gile fiturnya. Mkasih yaw",5
Pengalaman baru yg sangat menarik Mudah untuk di kerjakan masuk ke versi berbayar menunya masih sulit di temukan,5
"Keseluruhan sudah bagus, saya suka. Tapi tolong tambahkan fitur ekspor yang lebih baik, seperti jangka waktu berapa hari yang akan di ekspor menjadi file xls",4
"Pada 6 sept 2024, saya beli dan bayar untuk premium nya sebesar Rp 85,890, tapi hari ini 17 oktober 2024 kenapa jadi tidak premium lagi? Tidak ada info klo premiumnya harus bayar tiap bulan, tiba-tiba saja akun saya jadi tidak premium.",1
"aplikasi catatan keuangan terbaik sejauh ini❤, lebih leluasa mencatan, memberi simbol lucu, statistik, dan freee tanpa iklan ataupun harus premium, thankyou🫂",5
"simpel, mudah dipahami, mungkin tambahkan fitur untuk taruh foto di catatan supaya bisa taruh struk di sana",5
aplikasi ini sangat membantu sekali untuk mencatat pemasukan dan penveluaran setiap saat ga hafus ribet nyari buku dan pena dl..terimakasih bnyk yg sudah membuat aplikasi ini,5
"Aplikasi pencatatan keuangan paling bagus menurutku,, udah coba berbagai aplikasi tetep kembali pale money manager lagi. Terlove pokoknyahh. Udh lbh dari 3 th pke ini aplikasi. Bahkan udh sampe ku upgrade ke premium",5
"Sangat membantu, fasilitas lengkap, UI oke banget, sederhana, walaupun belum premium sudah sangat membantu, user friendly juga. Semoga semakin bermanfaat ke banyak orang dan buat developernya sehat selalu.",5
"apk sangat mudah dimengerti, sangat membantu dalam pencatatan. apalagi disertai foto juga. mantap lah.",5
"App bagus. membantu mencatat pembukuan harian. sejauh ini belum ada keluhan, mudah2an bisa terus berkembang lebih baik.",5
Sangat membantu buat ngitung keperluan sehari². Penggunannya mudah. Pelaporannya juga enak. Berkat ini pengeluaranku bisa terkontrol. Terimakasih 🙏,5
"Mantaaap aplikasinya, bisa melihat berapa pengeluaran kita, berapa penghasilan kita, aturnya juga mudah. The best pokoknya",5
"cukup membantu untuk pemula seperti saya mencatat keuangan, mungkin bisa di tambahkan akun agar jika ingin memindahkan data bisa menggunakan fitur pindah akun",5
"UI dan fitur-fitu yang tersedia sangat keren, membantu sekali untuk mentrack uang keluar.",5
"Sangat membantu dalam mencatat keuangan. License nya murah, simpel juga. Mantap pokonya. Terimakasih untuk developernya",5
"Aplikasi yang bagus banget buat yang mau ngelacak pengeluaran dan hemat, jadi mikir"" lagi kalau mau beli barang yang nggak perlu",5
Makasih dgn adanya aplikasi ini sangat membantu banget mencatat pengeluaran harian .. Biasanya suka lupa duitnya kmanain .. Skarang pengeluaran bisa diminimalisir,5
Aplikasi TERLALU RIBET. Terlalu banyak menu yang harus dipilih. Sementara menu-menu tersebut tidak ada gunanya. Malah bikin saya males bikin catatan keuangan,1
"Versi free tidak bisa backup di Google Drive ya? Data berharga saya jadi hilang!! Data Backup sudah saya setting auto harian, tapi file di Google dan di ponsel juga tidak ada. Adakah solusi? App ini juga punya kelemahan tidak ada data konsumen, tidak ada Data dan Pengingat hutang piutang. Tarif berbayar 63.000 itu bulanan atau tahunan??",2
"Aplikasinya sangat bagus! Sudah bagus, murah hati pula!!! Aplikasi yg lain bahkan harus berbayar hanya untuk menambah kategori anggarannya!",5
Fitur yang memudahkan dlm pencatatan pendapatan dan pengeluaran. Saya bisa melihat persentase pengeluaran saya. Financial check up dapat dilakukan dengan mudah. Terus tingkatkan.,5
"Gak nyesel download aplikasi ini, sangat membantu mengontrol keuangan dan jadi tau uang habisnya kemana aja. Pokoknya bagi yg nyari manage keuangan ini juaranya.",5
"Sangat membantu dalam pencatatan dan perrncanan keungan, baik itu keuangan pribadi maunpun usaha, Money Manager sangat membantu sekali dalam kehidupan saya, saya sudah memakai aplikasi ini selama 3 tahun lebih , terima kasih money manager",5
keren! mudah²an ke depannya ada pembaruan yg memudahkan penggunaan dari sisi UI hingganya bisa meningkatkan UX,5
"Bagus dan sangat membantu dlm mengatur keuangan. Saya mau bertanya, apakah aplikasi ini dapat di gunakan untuk mencatat di akun yang berbeda? Misal nya keuangan istri & suami dalam 1 aplikasi",4
"aplikasinya bagus sangat membantu untuk kita yg pelupa , bisa tau uang masuk dan kluar dan gak ada iklannya, buruab deh di install ☺☺",5
"Berguna banget untuk mengatur keuangan, karena jg simple apk nya dan ga ribet. Jadi aku bisa enak aja nyatet keuangan nya secara digital",5
"Jika ingin melakukan pengeluaran uang dari hasil pinjaman seharusnya hutang tidak berkurang krn belum dilunasi. Namun kas yg berkurang. Solusinya ketika hutang bertambah jangan gabungkan dalam total pendapatan, namun masukkan ke kas.",3
"aplikasi ini simple dan sangat bermanfaat untuk membantu orang mau fokus hidup disiplin tanpa perlu banyak gaya didalam aplikasi, UI nya simple tapi sangat memperhatikan User experience nya",5
"Aplikasi mantap untuk mencatan pengeluaran dan pemasukan , jadi kita bisa tau pengeluaran kita berapa sisa duit berapa pokoknya aplikasi ini rekomen untuk orang yang mau tau pengeluaran dan pemasukan harian",5
"Penggunaanya bagus dan gampang di lihat, rekomended banget. yang bilang ini jelek berarti gk bisa make",5
"aplikasinya bagus, cuma sangat susah untuk masuk aplikasi, aplikasi sering stuck ketika saya buka dan saya tidak bisa menulis laporan keuangan saya. Tolong di perbaiki",1
"cukup membantu, tapi saya lebih suka klw ini bisa di sambung ke m-banking atau e-wallet, yah cuma itu, keamanan nya yg bikin PR buat developer, tapi beneran meringankan kita buat ngurus keuangan",3
"Aplikasi yang sangat bagus untuk pencatatan keuangan harian & melihat rekap baik harian, bulanan ataupun rentang waktu yg kita inginkan. Sangat rekomendasi untuk digunakan bagi yang ingin mengetahui pengeluaran dan pendapatan keuangan kita.",5
"Baguss, cuma kalau sedang connect ke web. Kalau kita ganti ke aplikasi di handphone langsung disconnect yg diweb nya. Saran untuk tetap bisa connect di webnya ketika sedang buka mbangking atau aplikasi lainnya di handphone supaya tetap bisa input di webnya",5
"Saya sudah membeli versi premium, sebelumnya bisa diakses dengan mudah, tapi ada gangguan sekarang. Saya sudah mengakses IP di PC tapi responnya terlalu lama.",3
"Aplikasinya bagus, mudah tracking history, apalagi difasilitasi upload foto n history chat, pokoknya bagus lah buat ngedata pengeluaran n pemasukan",5
"Aplikasinya mudah digunakan, ukurannya juga gak bikin hp lola. But karna saya pake yang gratis. Iklannya suka gak nahan hehe klik apa malah keluar iklan tapi gpp selagi aplikasinya menghuni",4
sangat mudah dan sangat membantu,5
"sangat bagus dan membantu,,sukses slalu",5
Aplikasi ini mudah untuk digunakan. Selain itu tampilannya juga memudahkan pengguna untuk melacak baik pemasukan ataupun pengeluaran dengan baik.,5
luar biasa membantu,4
Top banget trus tampilannya simpel tapi fiturnya keren. Mungkin saran tambahan fitur tabungan,5
"sumpah ini aplikasi bagus banget! sangat membantu aku yg masih belajar ngatur keuangan, KERENNN RECOMMENDED GUYS! makasi banyak developer😍🙌🏻",5
catatan nya sangat lengkap,5
"Aplikasi mantap, catatannya hampir lengkap semua, saya belum menemukan kekurangannya, saat ini masih aplikasi pencatat keuangan paling mantap yang saya coba",5
saya menyukai nya tp kurang suka sbb ada iklan nya,3
"Cara pakai nya gampang, tampilannya nya simple, sangat membantu mendata keuangan harian saya, aplikasinya good 👍👍",5
"Sejauh ini, ini adalah aplikasi yang pas terutama bagi para pemula untuk memulai mengelola keuangan. Tampilan dan fitur sangat mudah dan dimengerti untuk digunakan",5
"Aplikasinya sangat membantu untuk mengetahui pengeluaran dan pendapatan bulanan, jadi saya jadi tau cara mengatur uang agar lebih irit",5
"aplikasi gagal. kenapa tiap saya memulihkan pencadangan tidak ada data yang ditampilkan sama sekali, padahal sebelumnya sudah dicadangkan ke akun gmail",1
sampai detik ini saya puas dengan aplikasi ini. 👍,5
"lumayan kebantu pakai aplikasi ini, jadi gak ribet lagi budgeting booking, kadang kalau lg sibuk jadi simple pakai hp aja",4
Aplikasi Rekomendasi. Cara pakainya mudah. ada rekap per bulan dan bisa di eksport ke excel 👍,5
"terimakasih, aplikasinya sangat bagus!",5
"Aplikasi luar biasa, aplikasi impian yg memudahkan saya budgeting dan mengelola anggaran. thanks developer",5
"Sangat bagus aplikasinya, jadi kalo mau tau uang habis kemana aja sama di hari apa aja bisa tau, gak goib lagi uang hilangnya hehehe Mantap cukup puas pake aplikasi ini",5
"Aplikasinya sangat membantu & mudah untuk digunakan, yg bahkan gak perlu upgrade2-an, jika dibandingkan dg beberapa aplikasi lain yg sudah dicoba 👏🏼👏🏼👏🏼 Btw, makasih banyak untuk aplikasinya ✨",5
"Sangat praktis digunakan, mudah dicustomisasi (kategorisasi aset, pengeluaran, pendapatan), dan tersedia backup online sehingga tdk ad mslh ketika ganti device atau install ulang device.",5
Tambah Bagus min Terima kasih,5
harapannya next update ada opsi pengelolaan ada pilihan mingguan. overall aplikasi ini sempurna.,5
"sangat mudah, fitur lengkap, sangat membantu utk merekam jejak keuangan dan langsung dibukukan, bisa harian bisa bulanan, rekomended",5
"Pengelola Keuangan Sangat Baik Sekali, Membuat pemasukan dan Pengeluaran terdata dengan jelas. Terimakasih telah hadir untuk memberikan kemudahan dalam mencatat jurnal keuangan dengan simple.",5
Sangat membantu dalam membuat catatan keuangan kita sendiri yang terpenting harus bisa konsisten dalam mencatat pengeluaran dan aplikasi ini akan membantu anda dengan cepat,5
Bagus utk mencacat keuangan harian,5
keren sangat bermanfaat,5
"sangat bermanfaat bagi saya,yang selalu ingin tau tentang diri sendiri.",5
bagus baik saya jadi ga boros lagi,5
"bagus, detail bangett",5
Aplikasi mudah digunakan dan banyak fitur. Namun UI bisa ditingkatkan kembali agar lebih clean,5
free. Alhamdulillah bisa ngatur keuangan lebih simpel tau pemasukan pengeluaran. Bank tunai. Selisih. Tutup buku tahunan bulanan. Mantep pokoknya,5
bgusssss banget semoga kedepan nya bisa buat nulis di PC juga gratis,5
Cukup bagus untuk pemula yg ingin mengatur keuangan. Ga ribet juga pake hitungan manual. Thank you,5
"Aplikasi sangat berguna untuk saya, baik untuk mengetahui pengeluaran maupun pemasukan, apalagi ada diagramnya. Mantap aplikasi Recomended untuk mencatat pengeluaran dan pemasukan.",5
"Cukup bagus, tapi mengapa kalau saya pakai menu transfer angka dari akun yang saya transfer dan yang menteansfer tidak berubah ya?",5
kalau saldo nihil kenapa tetep bisa transaksi. harus tidak bisa,4
"bagus, sayang suka ada iklan aja",4
"All good, tolong Tambahkan fitur ""HUTANG - PIUTANG"" Yang bisa otomatis terhitung dengan SALDO AKUN,. Terima kasih Setelah itu baru saya kasih 5/5",3
work it karna fitur lengkap,5
"Mohon di tambahkan waktu yg bisa di setting manual atau auto (default), sehingga kita tau jam berapa ada pemasukan/pengeluaran, dan juga tolong di buatkan statistik harian, thx",5
"bener2 bagus buat nyatet pengeluaran! ada pengaturan budget juga, jadi bisa track expense. good job!",5
sangat bagus dan membantu dalam pencatatan keuangan,5
"Aplikasi ini sangat membantu saya me menejemen keuangan saya dan sangat membantu agar tau pengeluaran dan pendapatan sehari hari saya, semoga kedepannya dapat lebih berkembang dan membantu banyak orang",5
"Aplikasi yang mempermudah dalam mengelola keuangan, saya bisa pisahkan uang dari berbagai aset, mengatur jadwal uang masuk dan keluar dengan baik juga",5
gampang dan mudah di mengerti,5
bagus buat mencatat keuangan,5
"sangat bagus,dan memuaskan",5
So Far So Good. Bagus untuk mencatat financial pribadi sehari² supaya bisa memonitor dan mengevaluasi antara pemasukan dan pengeluaran setiap bulanannya.,5
"baru install, mau test cocok tdk buatku",4
cara pemakaiannya sangat mudah,5
"sangat membantu bagi saya, terimakasih🙏",5
"Bagus banget, saya suka sekali",5
aplikasi terbaik untuk catatan keuangan anda,5
"MOHON TAMBAHKAN FITUR PINDAH DEVICE, KARENA MEMPERMUDAH APABILA KITA MENGGANTI DEVICE TANPA HARUS MULAI DARI AWAL LAGI, SAYANG BANGET SUDAH TERCATAT SELAMA BERTAHUN TAHUN TETAPI TIDAK BISA BERGANTI DEVICE OTOMATIS",5
"Sangat bagus, saya suka.",5
Tambah menu Hutang-Piutang,3
"sumpahh gua orangnya pelupa banget, dan nyatet selalu minus terus, tapi semenjak download aplikasi ini hampir gaada minus bener2 plek ketiplek. buat kalian yang selalu boncos dikeuangan emang harus download aplikasi ini biar ke menage dengan baik. salam bijak",5
"Aplikasi nya bagus, hanya saja tidak tersedia catatan utang piutang. Semoga segera ada ya. Dan agak terganggu sih dengan iklan nya",4
"Banyak fitur yang bagus, bisa melihat statistik, sangat bagus untuk mencatat pengeluaran dan penghasilan ✨✨✨",5
Cara pemakaian simpel tapi lengkap banget buat catet semua pengeluaran dan pemasukan. Top!,5
"Aplikasi yg sangat bermanfaat untuk merecord pendapatan dan pengeluaran, fiturnya jg bagus.. recomended bgt",5
aplikasi nya gampang dipahami dan gampang di gunakan best deh pokoknya,5
sangat bermanfaat untuk pencatatan transaksi harian,5
"bagus banget ui , thank u banget loh dah bantu aku ngecek keuangan",5
"Dengan adanya aplikasi ini, memudahkan saya untuk mengevaluasi pengeluaran bulanan saya, dan juga memudahkan untuk mencatat riwayat pemasukan maupun pengeluaran.",5
aplikasi ini sangat bagus banget pokoknya okee banget deh,5
sangat membantu mengatur pemasukan dan pengeluaran,5
"Mudah, bagus, membantu, bermanfaat.",4
aplikasinya sangat membantu untuk merekap pengeluaran uang,5
sangat terampil datanya,5
"good aplication, perbaiki terus bos",5
sangat membantu saya untuk manajemen keuangan pribadi,5
"Paling bagus dr semuaaaa yg saya download. Interface super oke, easy to use, simple ga bikin pusing 😭👌 rekomen polll ! 🩷",5
"sangat membantu bangettttt. kalo mau merubah pembukuan keuangan bisa pake apk ini, tidak berbayar dan TDK ada iklan .",5
Bagus sangat membantu,5
"Paling recommended, masukannya mohon untuk aset pribadi diberi fitur pengurangan nilai aset, terus untuk pinjaman kasih fitur pembayaran pinjaman, jadi gk perlu edit manual bisa langsung otomatis kehitung",5
sejauh ini paling rekomendasi buat saya,5
"great app, aplikasi keuangan yang lengkap dan mudah digunakan, sudah mendukung bhasa indonesia pula, keren,please add profile feature,so we can add complete profile.",5
aku seorang karyawan dengan gaji yang bisa di management dengan aplikasi ini,5
Bagus buat yang pingin nyatet pengeluaran dan pemasukan,5
Aplikasi yang bagus ...so far bisa mengakomodir kebutuhan saya ...thanks ...teruslah berkarya untuk lebuh baik lagi...aplikasi terbaikbyang pernah saya gunakan,5
"aplikasi terbaik dalam pencatatan keuangan, dan mudah untuk mengikuti keinginan sendiri",5
sangat membantu pencatatan,5
Aplikasi ini sangat membantu tp mohon ditambahkan jumlah item yg di cari di pencarian agar tidak menghitung secara manual lagi🙏,4
"Sangat membantu mencatat transaksi keuangan, cash flow jadi lebih teratur dalam mengelola keuangan. Terimakasih utk pembuat Aplikasi ini semoga ada inovasi² baru yg gratis sprti ini.",5
Aplikasi manager keuangan yang bagus! Lengkap fiturnya. Lumayan buat tracking pengeluaran sama pemasukan,5
"Fiturenya cocok sesuai kebutuhan. Ada rekap tutup buku, jd lebih jelas membaca kondisi keuangan",5
"bagus, sederhana, sangat membantu untuk membuat laporan keuangan. bisa back dated jika kita ingin memindahkan lap. keuangan yang masih dikerjakan secara manual.",5
Aplikasi ini Sangat Membantu Untuk Mengetahui Dan Menyimpan Pengeluaran Dan Pendapatan Sungguh Aplikasi ini sangat Membantu Untuk Mencatat Pengeluaran nya,4
Keren aplikasinya mudah pemakaiannya tapi sayang belum bisa untuk dicetak di printer untuk hasil laporan keuangannya setiap bulan sebagai laporan keuangan.,5
"Sangat membantu untuk mengetahui pengeluaran bulanan, disertai pengelompokan2 yg memudahkan kita. Nice app. Recommended",5
"fitur Tutup buku exspor ke excel, Hasil Extract di excel baiknya kolom pendapatan dan pengeluaran di taruh di tab berbeda, Lalu kolom aset bisa di isi dengan nama aset",4
bagus banget. tpi kalau bisa di tambah bisa liat totalan masuk tf dri tiap aset yg masuk ke aset lainnya.,5
"Rekomendasi install, bisa memisahkan uang digital dan uang tunai, bisa mencatat uang dipakai dari uang digital atau dipakai dari uang tunai, install sekarang",5
"Mungkin bisa ditambahkan fitur pergeseran awal bulan. Sehingga user yang hitungan awal bulannya tidak dari tgl 1, semisal tanggal 28 (karena menerima gaji tgl 28) bisa menghitung demgantepat",4
"Aplikasi baru pake, bagus buat tracking keuangan, semoga bisa membantu, belum ke premium, masih menimbang2",5
Bagus sekali sangat terorganisir dan bisa merecord lebih dari 1 akun juga tampilan statistiknya bagus sekali,5
"mempermudah dalam mencatat semua pengeluaran dan pemasukan, dan datanya pun bisa di tarik jika pindah HP, good",5
bagus dan bermanfàat utk keuangan keluarga juga ok. Saran mungkin bisa ditambahi menu budget alamgkah komplitnya,4
Bagus.. Udah dipakai lama.. Ada sistem pke mata uang utama dan kedua.. Jadi sangat direkomendasikan d pakai saat tinggal d luar negeri.,5
"Memudahkan untuk pemula dalam mengatur keuangan dan tampilan juga seperti jurnal jadi inget pas sekolah dulu.. hehe Mantap, ditingkatkan terus ya 😁",5
"mudah digunakan, mudah dipahami, bagus bgt aplikasinya. ini yg saya cari cari. saran saja kurangi iklan saja",5
"Aplikasinya sederhana dan mudah digunakan gunakan, desain terstruktur dan rinci dalam pencatatan keuangan, bisa diubah pengaturan dasarnya menyesuaikan kebutuhan.",5
"Komplit sekali, tolong tambahkan fitur undo dan redo, jika di msexcell, fitur itu yg paling membuat nyaman.",5
"Funngsi mantap, fitur berlimpah, hanya kurang saat perpindahan antar tab kurang smooth, overall Overpower app, good job",5
"Sangat membantu, jangan keseringan iklan.. kalo bisa malah ngga ada iklan.. okee siipp bintang 5",5
"untuk tampilan simpel, dan mudah digunakan,, sejauh ini sudah baik,, msih nunggu update selanjutnya untuk tambahan fiturnya agar lebih lengkap,,,",5
"sangat mudah,simple,adn smart..., dari semua aplikasi keuangan yg pernah aku pakai baru ini yg sangat nyaman dipakai",5
"suka banget apknyaaaa, simpel tapi memenuhi semua kebutuhan pengelola keuangan. semua yg ada di fikiran saya terrealisasikan .. terimakasiii ❤️",5
"Setelah try and error beberapa aplikasi untuk mencatat keuangan pribadi memutuskan pakai ini. Aplikasi menyediakan beberapa sumber pengeluaran dan pemasukan jadi bisa update antara kas, bank, investasi dll",5
"Keunikan dibanding aplikasi lain, terdapat fitur dimana pengguna dapat menginsert foto sehingga terdapat bukti dasar transaksi. Amazing",5
sampai sejauh ini... aplikasi ini sudah lumayan bagus. kekurangan hanya di tampilan tidak estetik aja... secara fungsi cukup lengkap.,5
"Aplikasi bagus, mudah dimengerti. Saran utk uang pemasukan/pengeluaran agar lebih detail.",5
"Sangat bagus, ada Bahasa Indonesia nya, sistem pemakaiannya juga tidak rumit dan bisa dijalankan secara offline. Terimakasih",5
"Aplikasinxa sngat bagus,membantu mngatur ke uangan saya,dan tidak bnyak iklan yang mngganggu Pokoknya rekomended buat mngatur ke uangan kita sehari""",5
"Memudahkan mengatur keuangan, jadi kita bisa lebih mudah menghemat membelanjakan sesuatu.. terimakasih Money Manager",5
"Pengalaman saya pakai aplikasi sangat bagus, tetapi tolong kedepannya di buat icon² menari membuat lebih bersemangat untuk mengatur uang",5
"Sangat membantu buat melihat pengeluaran harian, bulanan bahkan tahunan,, good job 👍👍❤️",5
"Aplikasi lengkap peraccount. Dan mudah dibaca, dan ada ringkasan yg bisa dicek disiapkan periode",5
"aplikasi paling simple tp rinci, bisa liat langsung hasil inputannya persentasenya, the best sih",5
"untuk dana pelajar seperti saya, ini sangat cocok sekali, mengatur keuangan yang keluar masuk dengan sangat baik, jika diterapkan dengan tekun",5
"aplikasi yang bagus lengkap dengan grafik pengeluaran per bulan, sehingga memudahkan evaluasi pengeluaran per kategorinya.",5
bermanfaat banget aplikasi nya. untuk saya yg tiap bln ada laporan dan pembukuan yg hrs D catatan ini sangat bermanfaat! tingkat kan trs yaa aplikasi nya,5
Sekarang sering Hang tidak bisa masuk Aplikasi mohon segera diperbaiki sudah beberapa hari ini hang macet di logo,1
"Bagus banget bermanfaat buat nulis pengeluaran harian yg detail, bsa d lengkapin foto struk juga . the best 👍🏼",5
"sangat membantu dalam perhitungan pendapatan dan pengurangan, dilengkapi dengan fitur fitur yang bermanfaat, yang dapat menghitung pengeluaran berdasarkan kategori dari yang terbesar sampai terkecil",5
"fitur melimpah, UI simpel dan gak membingungkan . POKOKNYA BAGUS BANGET !!!!",5
"Cara mengatur uang yang menarik, asik, simple, dan easy ACCESS berbahasa Indonesia",5
"app yg saya cari. sangat bagus untuk pembukuan saya. berkat app money manajer tak perlu lagi susah2 tinggal masukin lewat gadget, thx Good job",5
"Bukan sekedar review, sangat worth it untuk anak kost yang pengen ngemat itung pengeluaram dan bisa nentuin brapa harus investasi",5
Aplikasi pendewasaan literasi keuangan. Sangat baik untuk melatih kejujuran dan management uang,4
"Powerfull, mantap. Sangat bermanfaat. Boleh saran agar dapat ditambahkan menu Hutang, Piutang 🙏",5
Sangat membantu dalam mengelola keuangan harian... praktis karena tak perlu lgi catat dibuku yg terkadang membuat lupa,5
"Sangat bagus dalam pengelolaan keuangan , bisa juga masukan foto utk keterangannya. GOOD JOB",5
"sangat membantu mencatat pengeluaran dan pemasukan, semoga dipertahankan dan tdk ada iklan2 apapun biar nyaman",5
"Keren, aplikasinya sangat mendukung buat saya pribadi yg susah ngatur pengeluaran, the best",5
"Ada fitur mutasi dan aset jadi semua buku rekening dll bisa dimasukan disini, lengkap",5
"TERBAIK 🤩 Sangat sederhana tapi lengkap. Mudah dipahami, jadi semangat budgeting 🤩 Terima Kasih.",5
Sangat membantu...mudah penggunaan...sementara ini belum ada minus...cuma bnyak iklan aja,5
sangat bagus untuk pelajar. tolong berandanya ditingkatkan lagi agar cek saldo gak diurut berdasarkan per hari,4
"berawal dari coba beberapa aplikasi pengatur keuangan,ini yang terbaik..istri saya yang susah atur keuangan jadi sangat terbantu dengan aplikasi ini",5
Good . sangat membantu sekali aplikasi ini.. semenjak saya menginstal aplikasi ini.. saya lebih bisa memanage uang saya.. sehingga saya bisa mengontrol pengeluaran saya.,5
seneng banget liat kalender bersama pengeluaran dan pemasukan kt jadi bisa pengingat jumlah yang bisa dikeluarkan,5
Aplikasi luar biasa dalam mengelola pengeluaran harian. Seperti buku akuntasi single-entry dalam genggaman. Menjurnal transaksi semudah update status,5
"app yang sangat bagus, bermanfaat untuk kontrol keuangan dan bisa juga buat laporan ke pak suami hehe",5
Aplikasinya sangat bagus...sangat membantu dalam mencatat pengeluaran sehari hari...terimakasih😁,5
"Aplikasi simple, iklan tidak mengganggu. Recomended untuk yang mau belajar manage uang",5
